--- Relaxation Summary for Main Iteration 5, GA Generation 1 ---
Analysis Date: 2025-10-03 05:52:24

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. Z (freq: 0.2485, band: 0)
  2. R (freq: 2.9898, band: 59)
  3. Y (freq: 0.3600, band: 0)
  4. S (freq: 0.5750, band: 0)
  5. Z (freq: 3.0912, band: 59)
  ... and 5 more

--- Decomposition Analysis Summary ---
Reference Energy (E_ref): -2.796148 eV/atom
Decomposition Threshold: 0.500 eV
Threshold Condition: E_relax < E_ref - 0.500 = -3.296148 eV/atom
Total Samples: 100
Structures Flagged as DECOMPOSED: 0 (0.0%)
Valid Structures for GA Evolution: 66 (66.0%)

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
20           P1              triclinic          -2.797621                 5          1        73       D1:1.124, R21:-0.941, Cell:(-0.081, 0.207, 0.156, -27.994, 29.013, 33.260), SC:1x1x1, PhFactor:False
40           Cm              monoclinic         -2.797145                 5          1        76       D1:4.087, R21:-1.415, Cell:(0.049, 0.189, -0.342, -5.159, -20.504, -22.570), SC:1x1x2, PhFactor:True
80           P2_1/m          monoclinic         -2.796750                 5          1        47       D1:3.434, R21:0.059, Cell:(-0.204, 0.196, -0.271, -9.584, 20.694, 22.493), SC:2x1x2, PhFactor:True
80           P-1             triclinic          -2.796343                 5          1        41       D1:0.919, R21:0.334, Cell:(-0.336, 0.258, 0.112, -34.954, -21.156, -18.067), SC:2x2x1, PhFactor:True
40           Pm              monoclinic         -2.795122                 5          1        81       D1:8.659, R21:-1.232, Cell:(0.255, -0.037, 0.455, -10.792, 31.728, 40.415), SC:2x1x1, PhFactor:False
80           P1              triclinic          -2.794663                 5          1        100      D1:6.700, R21:-0.952, Cell:(0.448, 0.027, 0.493, 20.473, -26.275, 7.176), SC:2x2x1, PhFactor:False
160          Pm              monoclinic         -2.794579                 5          1        55       D1:1.372, R21:0.123, Cell:(-0.163, 0.378, -0.245, -31.092, 1.392, 38.571), SC:2x2x2, PhFactor:True
20           P-1             triclinic          -2.793145                 5          1        51       D1:0.453, R21:-1.018, Cell:(0.431, 0.255, -0.451, -12.831, 18.623, -8.826), SC:1x1x1, PhFactor:True
20           P1              triclinic          -2.793045                 5          1        36       D1:1.292, R21:-1.065, Cell:(-0.454, -0.069, 0.388, 6.505, -7.261, -19.292), SC:1x1x1, PhFactor:True
40           Pm              monoclinic         -2.791042                 5          1        90       D1:4.284, R21:1.283, Cell:(-0.112, 0.423, -0.430, -2.581, 2.324, -14.760), SC:2x1x1, PhFactor:False
