--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-07-06 17:43:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
2            Fm-3m           cubic              -4.820459                 2      24       D1:10.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      26       D1:10.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      58       D1:17.783, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      60       D1:17.783, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      94       D1:31.623, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      95       D1:31.623, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      127      D1:56.234, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      129      D1:56.234, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      131      D1:56.234, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      133      D1:56.234, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      163      D1:100.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      164      D1:100.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      165      D1:100.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      166      D1:100.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      28       D1:10.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      94       D1:31.623, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      95       D1:31.623, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      98       D1:31.623, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      129      D1:56.234, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      131      D1:56.234, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      133      D1:56.234, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      164      D1:100.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      166      D1:100.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      27       D1:10.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      28       D1:10.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      63       D1:17.783, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      92       D1:31.623, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      93       D1:31.623, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      98       D1:31.623, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      24       D1:10.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      61       D1:17.783, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      63       D1:17.783, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 3      93       D1:31.623, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
2            Fm-3m           cubic              -4.820459                 2      25       D1:10.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000)
