--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-26 17:55:57

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
12           P2_1/c          monoclinic         -10.165868                3          3        33       D1:1.000, R21:0.250, Cell:(0.000, -0.030, -0.005, 0.000, -23.100, 0.000), SC:1x1x1, PhFactor:False
48           P2_1/c          monoclinic         -10.165868                3          2        20       D1:2.000, R21:0.250, Cell:(-0.154, -0.068, -0.254, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          2        27       D1:1.000, R21:0.250, Cell:(0.277, 0.000, 0.070, 28.074, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                2          3        33       D1:1.000, R21:0.250, Cell:(0.277, 0.000, 0.070, 28.074, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                1          3        49       D1:4.000, R21:0.000, Cell:(0.404, -0.070, 0.407, 23.925, 7.214, -39.825), SC:1x1x2, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        7        D1:4.000, R21:-0.250, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                3          2        44       D1:1.000, R21:-0.250, Cell:(0.070, -0.013, -0.271, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          3        31       D1:4.225, R21:-0.250, Cell:(0.000, 0.000, -0.237, 4.335, 0.000, 0.000), SC:2x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                4          3        45       D1:0.250, R21:0.000, Cell:(0.000, 0.396, 0.000, 4.067, -7.344, 0.000), SC:1x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        22       D1:7.866, R21:-0.250, Cell:(0.015, 0.485, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                3          3        49       D1:1.000, R21:0.250, Cell:(0.000, -0.232, -0.028, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          2        49       D1:0.250, R21:0.250, Cell:(0.070, 0.401, 0.070, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                2          3        2        D1:1.000, R21:-0.250, Cell:(0.070, 0.070, -0.004, 0.000, 0.000, 0.000), SC:1x2x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                4          3        7        D1:4.000, R21:0.639, Cell:(0.000, 0.000, 0.000, 0.000, -7.344, 0.000), SC:2x1x1, PhFactor:True
12           P2_1/c          monoclinic         -10.165868                2          3        20       D1:1.000, R21:-0.250, Cell:(0.070, -0.109, -0.004, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                3          2        17       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.067, 0.000, 2.372, 0.000), SC:1x2x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                1          2        15       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
