--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2026-01-20 00:06:09

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------- 
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
1408         Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              3      16       D1:1.000, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      21       D1:4.000, R21:0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      4        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      18       D1:1.000, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000)
22           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              2      22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      20       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      5        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
88           Cc              monoclinic         -6.030263                 0.00 0.00 0.00 0.0 0.0 0.0                              1      14       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000)
